rank,module,normal_time,skipkernel_time,time_diff,pct_diff
1,Mathlib.Algebra.Category.CommAlgCat.Monoidal,28.02,9.93,18.09,182.2
2,Mathlib.Analysis.Complex.UpperHalfPlane.Metric,7.39,3.24,4.15,128.0
3,Mathlib.FieldTheory.CardinalEmb,20.71,10.10,10.61,105.0
4,Mathlib.LinearAlgebra.TensorProduct.Associator,9.71,4.78,4.93,103.1
5,Mathlib.RingTheory.Kaehler.Polynomial,16.88,8.93,7.95,89.0
6,Mathlib.CategoryTheory.Functor.Derived.PointwiseRightDerived,2.83,1.61,1.23,76.4
7,Mathlib.Algebra.Category.BialgCat.Monoidal,8.83,5.03,3.80,75.6
8,Mathlib.Algebra.Category.ModuleCat.Monoidal.Basic,8.22,4.70,3.52,74.9
9,Mathlib.RingTheory.Kaehler.JacobiZariski,16.07,9.38,6.68,71.2
10,Mathlib.LinearAlgebra.CliffordAlgebra.Grading,6.09,3.61,2.48,68.8
11,Mathlib.Topology.Algebra.Constructions.DomMulAct,2.62,1.56,1.06,68.2
12,Mathlib.Algebra.Category.ModuleCat.Sheaf.Colimits,4.14,2.56,1.57,61.4
13,Mathlib.Algebra.Category.CoalgCat.ComonEquivalence,6.61,4.24,2.37,56.0
14,Mathlib.LinearAlgebra.RootSystem.OfBilinear,4.73,3.06,1.67,54.5
15,Mathlib.Algebra.Category.CommBialgCat,12.00,7.87,4.13,52.5
16,Mathlib.LinearAlgebra.Eigenspace.Triangularizable,4.76,3.27,1.49,45.5
17,Mathlib.Analysis.NormedSpace.SphereNormEquiv,2.28,1.59,0.69,43.6
18,Mathlib.Algebra.Category.Ring.Adjunctions,4.78,3.34,1.44,43.1
19,Mathlib.Algebra.Category.ModuleCat.Presheaf.Free,3.44,2.42,1.03,42.5
20,Mathlib.Algebra.Category.ContinuousCohomology.Basic,20.28,14.26,6.02,42.2
21,Mathlib.CategoryTheory.Monoidal.Internal.Module,5.68,4.00,1.67,41.8
22,Mathlib.Analysis.Normed.Group.CocompactMap,2.18,1.56,0.62,39.4
23,Mathlib.Topology.Maps.Proper.Basic,2.18,1.59,0.60,37.5
24,Mathlib.FieldTheory.PurelyInseparable.PerfectClosure,5.00,3.66,1.34,36.7
25,Mathlib.RingTheory.Presentation,2.29,1.68,0.61,36.0
26,Mathlib.Order.UpperLower.Hom,1.77,1.30,0.47,35.9
27,Mathlib.Data.Int.Order.Basic,1.35,0.99,0.36,35.9
28,Mathlib.AlgebraicGeometry.Morphisms.UniversallyClosed,4.24,3.13,1.11,35.5
29,Mathlib.CategoryTheory.Limits.Preserves.Over,2.00,1.47,0.52,35.5
30,Mathlib.Algebra.Category.ModuleCat.Presheaf.Pushforward,6.04,4.47,1.57,35.0
31,Mathlib.Lean.Elab.Tactic.Meta,1.05,0.79,0.27,34.3
32,Mathlib.Algebra.Group.Subsemigroup.Operations,4.70,3.54,1.16,32.9
33,Mathlib.RingTheory.WittVector.Complete,2.79,2.11,0.68,32.3
34,Mathlib.Algebra.Category.ModuleCat.Presheaf.ChangeOfRings,3.25,2.46,0.79,32.1
35,Mathlib.LinearAlgebra.TensorProduct.Opposite,3.31,2.52,0.79,31.5
36,Mathlib.Tactic.Linter.Style,2.13,1.62,0.51,31.2
37,Mathlib.Analysis.Asymptotics.Completion,2.35,1.79,0.56,31.1
38,Mathlib.MeasureTheory.Measure.Real,3.44,2.63,0.81,30.6
39,Mathlib.Tactic.DeclarationNames,0.85,0.66,0.19,29.8
40,Mathlib.Algebra.Star.Pointwise,1.77,1.37,0.40,29.3
41,Mathlib.Data.Nat.Notation,0.84,0.65,0.19,28.8
42,Mathlib.Analysis.CStarAlgebra.Projection,3.04,2.37,0.67,28.3
43,Mathlib.Topology.MetricSpace.PartitionOfUnity,2.58,2.01,0.57,28.3
44,Mathlib.Tactic.Linter.Multigoal,1.11,0.87,0.24,28.0
45,Mathlib.LinearAlgebra.QuadraticForm.Basis,3.35,2.62,0.73,28.0
46,Mathlib.Data.Finsupp.Lex,2.31,1.80,0.50,27.8
47,Mathlib.Algebra.Category.Ring.FilteredColimits,3.99,3.12,0.87,27.8
48,Mathlib.Util.WhatsNew,1.10,0.86,0.24,27.8
49,Mathlib.CategoryTheory.Limits.Shapes.Countable,1.89,1.48,0.41,27.6
50,Mathlib.Algebra.Notation.Pi.Basic,1.53,1.20,0.33,27.3
51,Mathlib.Analysis.Convex.EGauge,4.19,3.29,0.90,27.3
52,Mathlib.Topology.KrullDimension,1.76,1.38,0.38,27.2
53,Mathlib.SetTheory.Ordinal.Family,3.05,2.40,0.65,27.2
54,Mathlib.RingTheory.AlgebraicIndependent.TranscendenceBasis,7.00,5.50,1.50,27.2
55,Mathlib.RepresentationTheory.Invariants,5.98,4.70,1.28,27.1
56,Mathlib.RingTheory.Coalgebra.Convolution,4.26,3.35,0.91,27.1
57,Mathlib.Data.Nat.PrimeFin,1.92,1.51,0.41,26.9
58,Mathlib.Algebra.Order.Ring.Ordering.Basic,6.18,4.87,1.31,26.8
59,Mathlib.FieldTheory.SeparablyGenerated,9.17,7.24,1.93,26.6
60,Mathlib.Combinatorics.Enumerative.Catalan,2.93,2.32,0.62,26.6
61,Mathlib.Algebra.Category.Grp.Limits,4.62,3.65,0.97,26.6
62,Mathlib.Topology.Order.IsLUB,3.06,2.42,0.64,26.4
63,Mathlib.Algebra.Lie.Sl2,3.29,2.60,0.69,26.4
64,Mathlib.RingTheory.RingHom.FiniteType,4.72,3.74,0.98,26.3
65,Mathlib.Topology.QuasiSeparated,1.75,1.39,0.36,26.2
66,Mathlib.LinearAlgebra.QuadraticForm.TensorProduct,8.01,6.35,1.66,26.1
67,Mathlib.RingTheory.FractionalIdeal.Norm,4.78,3.80,0.98,25.8
68,Mathlib.Lean.ContextInfo,0.83,0.66,0.17,25.7
69,Mathlib.Tactic.Translate.GuessName,1.09,0.87,0.22,25.6
70,Mathlib.RingTheory.Localization.AsSubring,2.91,2.33,0.59,25.3
71,Mathlib.GroupTheory.SpecificGroups.Alternating.Centralizer,2.59,2.07,0.52,25.2
72,Mathlib.Probability.Martingale.Convergence,3.67,2.93,0.74,25.2
73,Mathlib.Algebra.Category.ModuleCat.Sheaf.PullbackContinuous,5.51,4.41,1.09,24.8
74,Mathlib.Topology.Metrizable.CompletelyMetrizable,2.50,2.02,0.49,24.2
75,Mathlib.NumberTheory.DirichletCharacter.GaussSum,3.54,2.85,0.69,24.1
76,Mathlib.Algebra.Category.Ring.Limits,6.86,5.54,1.32,23.9
77,Mathlib.Analysis.Normed.Group.AddTorsor,2.46,1.99,0.47,23.8
78,Mathlib.Algebra.Category.HopfAlgCat.Monoidal,3.48,2.81,0.67,23.7
79,Mathlib.Topology.DiscreteSubset,2.34,1.90,0.45,23.5
80,Mathlib.Topology.Category.LightProfinite.AsLimit,2.58,2.09,0.49,23.4
81,Mathlib.CategoryTheory.Category.Cat.Limit,2.74,2.22,0.52,23.4
82,Mathlib.Tactic.TypeStar,0.81,0.66,0.15,23.0
83,Mathlib.Analysis.SpecialFunctions.Log.ENNRealLogExp,2.60,2.12,0.48,22.9
84,Mathlib.Algebra.Ring.Int.Parity,2.10,1.71,0.39,22.8
85,Mathlib.Data.Fin.Tuple.Finset,1.72,1.40,0.32,22.8
86,Mathlib.MeasureTheory.OuterMeasure.Caratheodory,2.45,2.00,0.45,22.6
87,Mathlib.CategoryTheory.Presentable.ColimitPresentation,3.66,2.98,0.67,22.6
88,Mathlib.Tactic.Lemma,0.80,0.65,0.15,22.5
89,Mathlib.Tactic.ToExpr,0.93,0.76,0.17,22.5
90,Mathlib.Data.Num.Prime,1.81,1.48,0.33,22.5
91,Mathlib.NumberTheory.LucasPrimality,2.05,1.68,0.38,22.4
92,Mathlib.LinearAlgebra.FiniteDimensional.Defs,2.67,2.19,0.48,22.1
93,Mathlib.RingTheory.RingHom.Unramified,3.07,2.52,0.55,21.8
94,Mathlib.Tactic.Substs,0.81,0.66,0.14,21.6
95,Mathlib.Tactic.Use,1.42,1.17,0.25,21.5
96,Mathlib.Algebra.Category.ModuleCat.Adjunctions,4.31,3.55,0.76,21.4
97,Mathlib.Algebra.Order.Monoid.Unbundled.Defs,1.82,1.50,0.32,21.4
98,Mathlib.Tactic.Linter.UnusedTactic,1.31,1.08,0.23,21.4
99,Mathlib.LinearAlgebra.Matrix.Basis,3.15,2.60,0.55,21.3
100,Mathlib.Algebra.Module.PID,4.65,3.83,0.81,21.3
101,Mathlib.RingTheory.AdicCompletion.Algebra,9.16,7.56,1.60,21.1
102,Mathlib.Tactic.Rename,0.92,0.76,0.16,21.1
103,Mathlib.Tactic.OfNat,0.80,0.66,0.14,21.1
104,Mathlib.Lean.Expr.ReplaceRec,0.80,0.66,0.14,21.1
105,Mathlib.Topology.Algebra.Algebra,4.48,3.70,0.78,21.1
106,Mathlib.Topology.MetricSpace.Holder,3.65,3.02,0.63,20.9
107,Mathlib.Tactic.TacticAnalysis.Declarations,1.96,1.62,0.34,20.9
108,Mathlib.Data.Int.Fib.Lemmas,1.94,1.60,0.33,20.8
109,Mathlib.Topology.Sheaves.SheafOfFunctions,1.93,1.60,0.33,20.6
110,Mathlib.CategoryTheory.Sites.Plus,4.62,3.84,0.79,20.5
