module,normal_time,skipkernel_time
Mathlib.Tactic.Linter.DirectoryDependency,0m1.518s,0m1.371s
Mathlib.Tactic.Linter.Header,0m1.226s,0m1.200s
Mathlib.Lean.Environment,0m0.720s,0m0.692s
Mathlib.Lean.Elab.Tactic.Meta,0m1.054s,0m0.785s
Mathlib.Util.ParseCommand,0m0.836s,0m0.840s
Mathlib.Tactic.MinImports,0m2.560s,0m2.370s
Mathlib.Tactic.Linter.OldObtain,0m0.807s,0m0.713s
Mathlib.Tactic.Linter.PrivateModule,0m0.795s,0m0.781s
Mathlib.Tactic.Linter.UnusedTacticExtension,0m0.788s,0m0.767s
Mathlib.Tactic.DeclarationNames,0m0.850s,0m0.655s
Mathlib.Tactic.Linter.Multigoal,0m1.114s,0m0.870s
Mathlib.Tactic.Linter.GlobalAttributeIn,0m0.859s,0m0.772s
Mathlib.Tactic.Linter.HashCommandLinter,0m1.042s,0m0.876s
Mathlib.Tactic.Linter.EmptyLine,0m0.899s,0m0.973s
Mathlib.Tactic.Linter.DocString,0m1.015s,0m0.879s
Mathlib.Tactic.Linter.DocPrime,0m1.108s,0m0.961s
Mathlib.Tactic.Linter.FlexibleLinter,0m1.415s,0m1.390s
Mathlib.Tactic.Linter.CommandStart,0m1.136s,0m0.992s
Mathlib.Tactic.Linter.DeprecatedSyntaxLinter,0m1.107s,0m0.967s
Mathlib.Lean.ContextInfo,0m0.826s,0m0.657s
Mathlib.Lean.Elab.InfoTree,0m2.361s,0m2.321s
Mathlib.Tactic.Linter.UnusedTactic,0m1.307s,0m1.077s
Mathlib.Lean.Expr.Basic,0m2.848s,0m2.512s
Mathlib.Tactic.ExtractGoal,0m1.420s,0m1.264s
Mathlib.Tactic.Linter.Lint,0m2.609s,0m2.390s
Mathlib.Tactic.Linter.UnusedInstancesInType,0m1.017s,0m0.856s
Mathlib.Tactic.Linter.Style,0m2.126s,0m1.620s
Mathlib.Tactic.TacticAnalysis,0m1.203s,0m1.069s
Mathlib.Tactic.TacticAnalysis.Declarations,0m1.958s,0m1.620s
Mathlib.Init,0m0.899s,0m0.782s
Mathlib.Tactic.Monotonicity.Attr,0m0.809s,0m0.776s
Mathlib.Util.Tactic,0m0.816s,0m0.759s
Mathlib.Util.PPOptions,0m0.796s,0m0.757s
Mathlib.Tactic.Coe,0m0.926s,0m0.870s
Mathlib.Control.Combinators,0m0.812s,0m0.753s
Mathlib.Tactic.CasesM,0m1.239s,0m1.064s
Mathlib.Util.AtLocation,0m0.911s,0m0.769s
Mathlib.Util.WhatsNew,0m1.098s,0m0.859s
Mathlib.Tactic.Set,0m1.125s,0m0.977s
Mathlib.Tactic.Substs,0m0.805s,0m0.662s
Mathlib.Util.WithWeakNamespace,0m0.797s,0m0.774s
Mathlib.Tactic.Spread,0m1.105s,0m0.980s
Mathlib.Lean.Elab.Term,0m0.791s,0m0.758s
Mathlib.Lean.PrettyPrinter.Delaborator,0m0.896s,0m0.777s
Mathlib.Tactic.Core,0m1.515s,0m1.376s
Mathlib.Tactic.WithoutCDot,0m0.930s,0m0.773s
Mathlib.Tactic.Conv,0m1.329s,0m1.171s
Mathlib.Tactic.SimpRw,0m1.023s,0m0.962s
Mathlib.Tactic.Push.Attr,0m1.042s,0m0.988s
Mathlib.Tactic.OfNat,0m0.798s,0m0.659s
Mathlib.Tactic.AdaptationNote,0m0.911s,0m0.864s
Mathlib.Tactic.Attr.Register,0m0.931s,0m0.889s
Mathlib.Util.AssertExistsExt,0m0.809s,0m0.772s
Mathlib.Data.Int.Notation,0m0.802s,0m0.762s
Mathlib.Data.Nat.BinaryRec,0m0.900s,0m0.871s
Mathlib.Util.CompileInductive,0m1.421s,0m1.287s
Mathlib.Data.String.Defs,0m0.814s,0m0.762s
Mathlib.Data.Set.Defs,0m1.718s,0m1.573s
Mathlib.Tactic.Eqns,0m1.006s,0m0.960s
Mathlib.Tactic.ExtendDoc,0m0.791s,0m0.757s
Mathlib.Tactic.PPWithUniv,0m0.898s,0m0.860s
Mathlib.Lean.Name,0m0.808s,0m0.767s
Mathlib.Tactic.Simps.NotationClass,0m1.023s,0m0.867s
Mathlib.Util.MemoFix,0m0.802s,0m0.772s
Mathlib.Lean.Meta.Simp,0m0.985s,0m0.872s
Mathlib.Data.Nat.Notation,0m0.840s,0m0.652s
Mathlib.Data.Array.Defs,0m0.816s,0m0.774s
Mathlib.Tactic.TypeStar,0m0.808s,0m0.657s
Mathlib.Tactic.Lemma,0m0.800s,0m0.653s
Mathlib.Tactic.ApplyWith,0m0.794s,0m0.664s
Mathlib.Lean.Meta.Basic,0m0.885s,0m0.864s
Mathlib.Tactic.ClearExclamation,0m0.794s,0m0.757s
Mathlib.Tactic.Simproc.ExistsAndEq,0m1.846s,0m1.705s
Mathlib.Tactic.Check,0m0.914s,0m0.863s
Mathlib.Tactic.ClearExcept,0m0.804s,0m0.758s
Mathlib.Tactic.Clear_,0m0.808s,0m0.744s
Mathlib.Tactic.Constructor,0m0.803s,0m0.768s
Mathlib.Tactic.ExistsI,0m0.812s,0m0.781s
Mathlib.Tactic.FailIfNoProgress,0m0.904s,0m0.874s
Mathlib.Tactic.FunProp.Mor,0m1.012s,0m0.854s
Mathlib.Tactic.FunProp.ToBatteries,0m0.885s,0m0.857s
Mathlib.Tactic.ErwQuestion,0m1.122s,0m1.083s
Mathlib.Tactic.FunProp.Decl,0m1.101s,0m0.958s
Mathlib.Tactic.ApplyCongr,0m0.896s,0m0.759s
Mathlib.Lean.Meta.RefinedDiscrTree.Basic,0m1.232s,0m1.056s
Mathlib.Tactic.ToExpr,0m0.931s,0m0.760s
Mathlib.Tactic.SplitIfs,0m1.101s,0m1.066s
Mathlib.Tactic.Attr.Core,0m0.814s,0m0.761s
Mathlib.Tactic.Use,0m1.424s,0m1.172s
Mathlib.Data.Set.CoeSort,0m0.800s,0m0.769s
Mathlib.Lean.Expr.ReplaceRec,0m0.804s,0m0.664s
Mathlib.Util.AssertExists,0m1.005s,0m0.882s
Mathlib.Tactic.ScopedNS,0m1.522s,0m1.406s
Mathlib.Tactic.Translate.GuessName,0m1.095s,0m0.872s
Mathlib.Data.Prod.PProd,0m1.110s,0m0.969s
Mathlib.Logic.Function.ULift,0m0.813s,0m0.760s
Mathlib.Tactic.Inhabit,0m0.912s,0m0.770s
Mathlib.Logic.Nonempty,0m0.908s,0m0.766s
Mathlib.Logic.ExistsUnique,0m1.046s,0m0.967s
Mathlib.Logic.Nontrivial.Defs,0m0.794s,0m0.761s
Mathlib.Logic.Function.Defs,0m0.891s,0m0.882s
Mathlib.Data.Option.Defs,0m0.775s,0m0.783s
Mathlib.Data.Ordering.Basic,0m0.790s,0m0.775s
Mathlib.Data.Int.Init,0m1.704s,0m1.578s
Mathlib.Tactic.DeprecateTo,0m1.214s,0m1.065s
Mathlib.Tactic.ApplyAt,0m0.901s,0m0.922s
Mathlib.Tactic.Find,0m1.286s,0m1.179s
Mathlib.Tactic.GuardGoalNums,0m0.788s,0m0.772s
Mathlib.Tactic.GuardHypNums,0m0.782s,0m0.671s
Mathlib.Tactic.Basic,0m1.426s,0m1.304s
Mathlib.Tactic.InferParam,0m0.796s,0m0.773s
Mathlib.Tactic.HigherOrder,0m1.113s,0m0.973s
Mathlib.Util.Delaborators,0m3.989s,0m3.887s
Mathlib.Util.TermReduce,0m0.995s,0m0.895s
Mathlib.Tactic.Linter.HaveLetLinter,0m0.901s,0m0.863s
Mathlib.Tactic.Linter.DeprecatedModule,0m1.100s,0m0.969s
Mathlib.Tactic.Linter.PPRoundtrip,0m0.890s,0m0.867s
Mathlib.Tactic.Linter.MinImports,0m1.112s,0m0.975s
Mathlib.Tactic.FunProp.FunctionData,0m1.408s,0m1.290s
